performance_id,campaign_id,date,impressions,clicks,leads,conversions,marketing_cost
MP000137,CMP001,2025-05-17,29844,1266,243,82,15710
MP000138,CMP001,2025-05-18,27118,2100,509,121,18813
MP000139,CMP001,2025-05-19,21532,597,149,15,22675
MP000140,CMP001,2025-05-20,8413,655,187,32,7248
MP000141,CMP001,2025-05-21,47713,1118,360,39,13102
MP000142,CMP001,2025-05-22,18065,402,139,22,12816
MP000143,CMP001,2025-05-23,13272,749,141,50,12142
MP000144,CMP001,2025-05-24,35476,1758,451,87,24853
MP000145,CMP001,2025-05-25,44796,1364,287,67,8542
MP000146,CMP001,2025-05-26,42924,963,223,70,17997
MP000147,CMP001,2025-05-27,17997,514,152,59,12957
MP000148,CMP001,2025-05-28,11678,541,189,61,24674
MP000149,CMP001,2025-05-29,12933,837,135,35,22456
MP000150,CMP001,2025-05-30,33074,2015,491,66,21579
MP000151,CMP001,2025-05-31,47437,2345,357,88,21062
MP000152,CMP001,2025-06-01,11916,681,194,59,20064
MP000153,CMP001,2025-06-02,15026,745,156,61,22096
MP000154,CMP001,2025-06-03,47628,2058,623,199,20843
MP000155,CMP001,2025-06-04,35465,2493,795,266,24414
MP000156,CMP001,2025-06-05,22589,1111,384,69,7839
MP000157,CMP001,2025-06-06,23279,1388,332,129,20227
MP000158,CMP001,2025-06-07,42345,3345,889,260,5940
MP000159,CMP001,2025-06-08,37394,2078,404,102,11950
MP000160,CMP001,2025-06-09,28253,2198,461,133,14163
MP000161,CMP001,2025-06-10,44069,2012,585,60,21928
MP000162,CMP001,2025-06-11,17521,525,108,36,21009
MP000163,CMP001,2025-06-12,41384,1811,624,183,21083
MP000164,CMP001,2025-06-13,34371,757,136,31,12261
MP000165,CMP001,2025-06-14,31502,2046,430,121,24056
MP000166,CMP001,2025-06-15,29184,1552,515,186,16264
MP000167,CMP001,2025-06-16,32885,2184,608,144,16528
MP000168,CMP001,2025-06-17,34736,1803,426,106,12554
MP000169,CMP001,2025-06-18,12907,996,198,39,8917
MP000170,CMP001,2025-06-19,40118,1560,332,60,20866
MP000171,CMP001,2025-06-20,23120,1669,518,203,14273
MP000172,CMP001,2025-06-21,11588,429,101,17,16825
MP000173,CMP001,2025-06-22,16759,644,99,31,22502
MP000174,CMP001,2025-06-23,13295,545,86,9,23132
MP000175,CMP001,2025-06-24,24145,1910,350,116,21085
MP000176,CMP001,2025-06-25,11723,246,72,16,20381
MP000177,CMP001,2025-06-26,36373,2531,553,102,6683
MP000178,CMP001,2025-06-27,21546,1408,269,34,18130
MP000179,CMP001,2025-06-28,37227,1047,304,110,6756
MP000180,CMP001,2025-06-29,14943,450,139,32,7791
MP000181,CMP001,2025-06-30,21265,667,206,58,24533
MP000182,CMP001,2025-07-01,45528,1834,542,151,19762
MP000183,CMP001,2025-07-02,34014,1288,412,80,23632
MP000184,CMP001,2025-07-03,45699,1159,329,126,8251
MP000185,CMP001,2025-07-04,18617,804,187,60,7660
MP000186,CMP001,2025-07-05,15292,550,104,14,10129
MP000187,CMP001,2025-07-06,5175,312,103,40,14543
MP000188,CMP001,2025-07-07,7139,260,57,14,19877
MP000189,CMP001,2025-07-08,9664,432,97,34,24326
MP000190,CMP001,2025-07-09,48331,1776,483,77,22844
MP000191,CMP001,2025-07-10,19733,699,172,26,7339
MP000192,CMP001,2025-07-11,8908,347,91,28,23651
MP000193,CMP001,2025-07-12,23914,1377,269,85,14964
MP000194,CMP001,2025-07-13,31378,1184,305,99,21180
MP000195,CMP001,2025-07-14,33688,837,278,32,19156
MP000196,CMP001,2025-07-15,26123,1758,391,42,7992
MP000197,CMP001,2025-07-16,20002,1578,536,58,13831
MP000198,CMP001,2025-07-17,42764,1019,347,130,10740
MP000199,CMP001,2025-07-18,35834,2841,878,229,10947
MP000200,CMP001,2025-07-19,43360,2652,900,136,20401
MP000201,CMP001,2025-07-20,27803,1392,378,78,8427
MP000202,CMP001,2025-07-21,15539,647,202,64,21235
MP000203,CMP001,2025-07-22,23888,1833,479,187,6202
MP000204,CMP001,2025-07-23,34807,1056,238,55,15593
MP000205,CMP001,2025-07-24,12597,664,230,23,22779
MP000206,CMP001,2025-07-25,35276,2397,386,62,21988
MP000207,CMP001,2025-07-26,28709,1849,532,166,6691
MP000208,CMP001,2025-07-27,18340,912,276,43,14438
MP000209,CMP001,2025-07-28,33712,2477,728,196,8978
MP000210,CMP001,2025-07-29,6891,459,145,29,10189
MP000211,CMP001,2025-07-30,25365,1635,252,95,18369
MP000212,CMP001,2025-07-31,11108,452,81,22,8849
MP000213,CMP001,2025-08-01,47448,1578,491,123,21674
MP000214,CMP001,2025-08-02,22919,1308,443,164,12986
MP000215,CMP001,2025-08-03,34935,1290,389,62,24640
MP000216,CMP001,2025-08-04,38308,1325,233,58,18596
MP000217,CMP001,2025-08-05,27274,2158,582,126,5084
MP000218,CMP001,2025-08-06,23536,1081,376,112,24002
MP000219,CMP001,2025-08-07,48249,2969,597,173,22648
MP000220,CMP001,2025-08-08,36741,2147,492,190,22807
MP000221,CMP001,2025-08-09,29720,1526,392,150,11181
MP000222,CMP001,2025-08-10,20650,1584,433,102,18460
MP000223,CMP001,2025-08-11,7860,319,107,34,17651
MP000224,CMP001,2025-08-12,48495,3639,700,196,6213
MP000225,CMP001,2025-08-13,13273,779,267,68,8288
MP000226,CMP001,2025-08-14,33855,881,266,84,5502
MP000227,CMP001,2025-08-15,14447,707,145,18,20384
MP000228,CMP001,2025-08-16,22368,1140,330,121,18024
MP000229,CMP001,2025-08-17,47587,1279,359,121,22485
MP000230,CMP001,2025-08-18,29904,1246,346,125,20989
MP000231,CMP001,2025-08-19,40456,956,301,38,12692
MP000232,CMP001,2025-08-20,46363,2104,431,66,19220
MP000233,CMP001,2025-08-21,11451,877,156,43,10451
MP000234,CMP001,2025-08-22,24625,551,87,18,6838
MP000235,CMP001,2025-08-23,24226,1218,277,82,9770
MP000236,CMP001,2025-08-24,21003,1507,436,89,10570
MP000237,CMP001,2025-08-25,16473,409,139,37,12891
MP000238,CMP001,2025-08-26,37615,1338,318,90,13322
MP000239,CMP001,2025-08-27,35118,1747,603,62,20245
MP000240,CMP001,2025-08-28,23850,1864,558,95,7420
MP000241,CMP001,2025-08-29,33949,2613,744,224,14802
MP000242,CMP001,2025-08-30,46873,2674,657,181,14899
MP000243,CMP001,2025-08-31,18055,1148,390,100,8494
MP000244,CMP001,2025-09-01,20545,1191,324,77,23835
MP000245,CMP001,2025-09-02,24390,1919,438,48,17969
MP000246,CMP001,2025-09-03,22988,475,143,57,6607
MP000247,CMP001,2025-09-04,44741,2928,732,271,12540
MP000248,CMP001,2025-09-05,44784,2338,462,94,13212
MP000249,CMP001,2025-09-06,49417,3940,1376,474,9481
MP000250,CMP001,2025-09-07,46172,1320,218,60,19444
MP000251,CMP001,2025-09-08,7186,439,111,19,7953
MP000252,CMP001,2025-09-09,24340,1155,364,89,10755
MP000253,CMP001,2025-09-10,18159,633,187,51,21442
MP000254,CMP001,2025-09-11,22860,793,183,70,20789
MP000255,CMP001,2025-09-12,24342,1179,381,52,20346
MP000256,CMP001,2025-09-13,9934,342,79,28,18022
MP000257,CMP001,2025-09-14,41524,2328,395,140,17929
MP000258,CMP001,2025-09-15,5912,253,71,10,19902
MP000259,CMP001,2025-09-16,29155,1960,677,239,13590
MP000260,CMP001,2025-09-17,43309,2426,784,241,17172
MP000261,CMP001,2025-09-18,12100,933,198,49,5820
MP000262,CMP001,2025-09-19,45602,3211,816,315,24991
MP000263,CMP001,2025-09-20,19507,519,158,44,14902
MP000264,CMP001,2025-09-21,47548,2622,512,86,6485
MP000265,CMP001,2025-09-22,7438,303,76,10,8184
MP000266,CMP001,2025-09-23,20387,1507,295,78,19864
MP000267,CMP001,2025-09-24,29314,1959,673,245,22701
MP000268,CMP001,2025-09-25,32467,1851,356,88,8244
MP000269,CMP001,2025-09-26,37069,2412,841,327,14166
MP000270,CMP001,2025-09-27,7144,495,121,25,19528
MP000271,CMP001,2025-09-28,34143,1649,432,68,17036
MP000272,CMP001,2025-09-29,40682,2282,373,87,14040
MP000273,CMP001,2025-09-30,17439,598,197,71,19900
MP000274,CMP001,2025-10-01,11007,437,147,54,24567
MP000275,CMP001,2025-10-02,6399,152,43,7,9126
MP000276,CMP001,2025-10-03,42000,1680,287,98,11788
MP000277,CMP001,2025-10-04,43429,1752,381,80,9835
MP000278,CMP001,2025-10-05,44058,892,203,74,9741
MP000279,CMP001,2025-10-06,13519,823,187,69,10717
MP000280,CMP001,2025-10-07,12204,920,144,22,5486
MP000281,CMP001,2025-10-08,28477,2186,730,133,24295
MP000282,CMP001,2025-10-09,26218,556,105,26,6717
MP000283,CMP001,2025-10-10,13307,1025,260,93,8724
MP000284,CMP001,2025-10-11,9165,670,214,67,21817
MP000285,CMP001,2025-10-12,43906,1324,429,170,12259
MP000286,CMP001,2025-10-13,45311,1083,348,134,22086
MP000287,CMP001,2025-10-14,24767,1433,229,29,20695
MP000288,CMP001,2025-10-15,31320,1499,279,89,19534
MP000289,CMP001,2025-10-16,9816,278,61,10,7152
MP000290,CMP001,2025-10-17,13270,546,160,56,24181
MP000291,CMP001,2025-10-18,40937,2149,517,203,22385
MP000292,CMP001,2025-10-19,24326,1415,470,157,8249
MP000293,CMP001,2025-10-20,12498,919,303,100,12045
MP000294,CMP001,2025-10-21,33185,1587,354,87,16106
MP000295,CMP001,2025-10-22,34720,2327,561,80,15241
MP000296,CMP001,2025-10-23,32968,1299,324,79,10001
MP000297,CMP001,2025-10-24,36081,995,172,22,8054
MP000298,CMP001,2025-10-25,33303,863,224,38,23231
MP000299,CMP001,2025-10-26,8930,515,162,23,18461
MP000300,CMP001,2025-10-27,28173,1925,672,175,6685
MP000301,CMP001,2025-10-28,23850,1706,414,86,8394
MP000302,CMP001,2025-10-29,42874,2935,657,104,20800
MP000303,CMP001,2025-10-30,19696,614,136,48,17044
MP000304,CMP001,2025-10-31,12529,535,153,29,19061
MP000305,CMP001,2025-11-01,41763,3115,493,117,5948
MP000306,CMP001,2025-11-02,16823,615,181,66,15124
MP000307,CMP001,2025-11-03,27270,1263,190,30,9694
MP000308,CMP001,2025-11-04,42114,2483,407,58,6004
MP000309,CMP001,2025-11-05,11013,763,169,40,18757
MP000310,CMP001,2025-11-06,34730,2090,393,86,15211
MP000311,CMP001,2025-11-07,26258,1687,558,76,6723
MP000312,CMP001,2025-11-08,15196,464,148,17,7673
MP000313,CMP001,2025-11-09,22832,1363,421,104,24892
MP000314,CMP001,2025-11-10,33969,1527,368,63,21788
MP000315,CMP001,2025-11-11,12459,602,145,21,14281
MP000316,CMP001,2025-11-12,49447,3767,1172,366,22266
MP000317,CMP001,2025-11-13,48721,2237,358,63,17951
MP000318,CMP001,2025-11-14,44277,1109,167,29,14876
MP000319,CMP001,2025-11-15,18843,657,163,34,15751
MP000320,CMP001,2025-11-16,12863,264,70,20,10757
MP000321,CMP001,2025-11-17,13466,658,156,47,23308
MP000322,CMP001,2025-11-18,48781,2425,399,89,6386
MP000323,CMP001,2025-11-19,33588,709,223,31,15258
MP000324,CMP001,2025-11-20,42732,2612,805,261,18686
MP000325,CMP001,2025-11-21,23973,714,210,23,15642
MP000326,CMP001,2025-11-22,16263,1145,329,90,16857
MP000327,CMP001,2025-11-23,10775,662,126,27,19276
MP000328,CMP001,2025-11-24,43592,2511,644,84,17968
MP000329,CMP001,2025-11-25,25334,1201,236,65,10509
MP000330,CMP001,2025-11-26,10005,722,137,46,21710
MP000331,CMP001,2025-11-27,17707,1069,249,42,12742
MP000332,CMP001,2025-11-28,11737,383,89,14,10685
MP000333,CMP001,2025-11-29,44478,1515,265,48,21191
MP000334,CMP001,2025-11-30,35405,2546,729,216,15590
MP000335,CMP001,2025-12-01,46105,2216,409,96,7237
MP000336,CMP001,2025-12-02,35731,2525,701,147,14000
MP000337,CMP001,2025-12-03,43759,1105,255,89,7431
MP000338,CMP001,2025-12-04,25342,1451,448,53,6864
MP000339,CMP001,2025-12-05,29165,2286,488,67,7958
MP000340,CMP001,2025-12-06,45305,3339,1019,297,20162
MP000341,CMP001,2025-12-07,43032,3130,511,166,23732
MP000342,CMP001,2025-12-08,47718,1725,422,119,20585
MP000343,CMP001,2025-12-09,37857,1374,237,80,8391
MP000344,CMP001,2025-12-10,27507,2012,344,98,10654
MP000345,CMP001,2025-12-11,7565,277,86,22,19398
MP000346,CMP001,2025-12-12,39345,2927,601,153,17217
MP000347,CMP001,2025-12-13,23539,1263,293,72,24591
MP000348,CMP001,2025-12-14,8431,572,165,57,15965
MP000349,CMP001,2025-12-15,9319,523,90,26,17666
MP000350,CMP001,2025-12-16,23621,988,333,117,24749
MP000351,CMP001,2025-12-17,14854,638,115,20,16462
MP000352,CMP001,2025-12-18,25331,1849,634,232,17843
MP000353,CMP001,2025-12-19,13450,878,152,34,23314
MP000354,CMP001,2025-12-20,29686,1910,454,77,22248
MP000355,CMP001,2025-12-21,11124,883,303,84,21662
MP000356,CMP001,2025-12-22,28712,611,137,32,10906
MP000357,CMP001,2025-12-23,19037,1079,357,97,11291
MP000358,CMP001,2025-12-24,19846,677,140,18,14692
MP000359,CMP001,2025-12-25,11628,751,250,92,6236
MP000360,CMP001,2025-12-26,48380,2346,799,275,9294
MP000361,CMP001,2025-12-27,44141,2425,441,85,10925
MP000362,CMP001,2025-12-28,45942,1596,463,57,18463
MP000363,CMP001,2025-12-29,28874,1962,662,126,19555
MP000364,CMP001,2025-12-30,45015,2067,695,260,19710
MP000365,CMP001,2025-12-31,20335,1499,346,73,20368
MP000366,CMP002,2025-01-01,17715,1107,339,106,19437
MP000367,CMP002,2025-01-02,35256,1859,473,175,22283
MP000368,CMP002,2025-01-03,32437,979,197,70,24813
MP000369,CMP002,2025-01-04,14070,537,86,28,20747
MP000370,CMP002,2025-01-05,29327,1721,310,122,21905
MP000371,CMP002,2025-01-06,13170,554,93,33,10253
MP000372,CMP002,2025-01-07,22877,1377,468,83,19335
MP000373,CMP002,2025-01-08,11010,447,124,34,5873
MP000374,CMP002,2025-01-09,32190,752,213,85,17253
MP000375,CMP002,2025-01-10,20451,1199,199,42,12357
MP000376,CMP002,2025-01-11,6847,299,103,16,15986
MP000377,CMP002,2025-01-12,14571,431,68,15,20481
MP000378,CMP002,2025-01-13,14095,1058,338,93,19699
MP000379,CMP002,2025-01-14,45327,927,159,16,13386
MP000380,CMP002,2025-01-15,19133,688,238,77,8643
MP000381,CMP002,2025-01-16,23881,963,221,37,6564
MP000382,CMP002,2025-01-17,20626,1271,353,136,19978
MP000383,CMP002,2025-01-18,9116,295,97,37,21378
MP000384,CMP002,2025-01-19,44107,3077,477,178,23843
MP000385,CMP002,2025-01-20,20855,711,180,45,5051
MP000386,CMP002,2025-01-21,45292,2350,475,153,11137
MP000387,CMP002,2025-01-22,48540,3707,643,198,16816
MP000388,CMP002,2025-01-23,9435,726,247,88,21633
MP000389,CMP002,2025-01-24,41316,909,235,83,6426
MP000390,CMP002,2025-01-25,46659,2517,879,278,13311
MP000391,CMP002,2025-01-26,6064,303,95,11,16298
MP000392,CMP002,2025-01-27,20802,628,192,56,15895
MP000393,CMP002,2025-01-28,13743,319,92,26,16093
MP000394,CMP002,2025-01-29,47126,1659,485,170,10972
MP000395,CMP002,2025-01-30,13837,340,109,12,14615
MP000396,CMP002,2025-01-31,18211,453,92,10,15341
MP000397,CMP002,2025-02-01,25321,1561,437,164,13300
MP000398,CMP002,2025-02-02,7399,532,161,28,14375
MP000399,CMP002,2025-02-03,28394,2166,348,117,15876
MP000400,CMP002,2025-02-04,22905,712,200,47,18107
MP000401,CMP002,2025-02-05,33818,2508,865,283,16109
MP000402,CMP002,2025-02-06,17243,1360,458,139,22015
MP000403,CMP002,2025-02-07,22479,618,185,45,7586
MP000404,CMP002,2025-02-08,33220,1897,376,106,14626
MP000405,CMP002,2025-02-09,26050,731,129,32,14687
MP000406,CMP002,2025-02-10,25086,1414,430,85,19545
MP000407,CMP002,2025-02-11,28038,1475,242,69,19252
MP000408,CMP002,2025-02-12,22993,1768,294,38,18310
MP000409,CMP002,2025-02-13,28809,1626,324,35,9678
MP000410,CMP002,2025-02-14,44817,2690,438,75,7203
MP000411,CMP002,2025-02-15,20466,1159,265,75,23587
MP000412,CMP002,2025-02-16,7122,451,86,29,19743
MP000413,CMP002,2025-02-17,29311,1347,429,61,23806
MP000414,CMP002,2025-02-18,14023,822,216,71,15301
MP000415,CMP002,2025-02-19,47569,2092,440,73,5849
MP000416,CMP002,2025-02-20,17192,1365,469,145,23404
MP000417,CMP002,2025-02-21,12717,522,177,33,19623
MP000418,CMP002,2025-02-22,19062,965,321,94,11559
MP000419,CMP002,2025-02-23,13037,398,68,20,10657
MP000420,CMP002,2025-02-24,34170,1042,363,123,15472
MP000421,CMP002,2025-02-25,48767,2398,722,88,23022
MP000422,CMP002,2025-02-26,40531,1999,452,85,10704
MP000423,CMP002,2025-02-27,28690,1614,356,50,11585
MP000424,CMP002,2025-02-28,14101,524,179,48,5861
MP000425,CMP002,2025-03-01,28651,1707,549,148,20315
MP000426,CMP002,2025-03-02,41152,1354,247,32,15134
MP000427,CMP002,2025-03-03,31093,2089,681,190,22225
MP000428,CMP002,2025-03-04,31921,2213,540,201,7416
MP000429,CMP002,2025-03-05,13213,588,170,21,19744
MP000430,CMP002,2025-03-06,35528,2829,776,109,23065
MP000431,CMP002,2025-03-07,46929,3345,687,264,9228
MP000432,CMP002,2025-03-08,33352,1696,282,43,21977
MP000433,CMP002,2025-03-09,15028,611,112,21,15572
MP000434,CMP002,2025-03-10,19776,1103,297,65,7584
MP000435,CMP002,2025-03-11,21423,830,286,98,13993
MP000436,CMP002,2025-03-12,13203,904,212,32,21468
MP000437,CMP002,2025-03-13,47007,1630,547,202,10052
MP000438,CMP002,2025-03-14,16219,998,308,122,24829
MP000439,CMP002,2025-03-15,27126,1696,275,30,7661
MP000440,CMP002,2025-03-16,7979,487,146,30,11907
MP000441,CMP002,2025-03-17,42495,2555,414,104,22877
MP000442,CMP002,2025-03-18,23983,1793,422,103,13024
MP000443,CMP002,2025-03-19,49891,2660,703,186,7391
MP000444,CMP002,2025-03-20,8926,339,106,36,20867
MP000445,CMP002,2025-03-21,35437,1543,405,117,9707
MP000446,CMP002,2025-03-22,25485,1980,460,134,18065
MP000447,CMP002,2025-03-23,13569,1049,251,90,23404
MP000448,CMP002,2025-03-24,11958,565,114,40,9014
MP000449,CMP002,2025-03-25,22529,1370,331,51,8172
MP000450,CMP002,2025-03-26,8316,314,107,34,18701
MP000451,CMP002,2025-03-27,21270,752,195,78,23929
MP000452,CMP002,2025-03-28,25494,897,174,48,21866
MP000453,CMP002,2025-03-29,35593,2753,727,199,5759
MP000454,CMP002,2025-03-30,10901,620,157,44,12888
MP000455,CMP002,2025-03-31,19099,1103,177,20,14219
MP000456,CMP002,2025-04-01,37433,2675,693,206,5267
MP000457,CMP002,2025-04-02,12044,681,136,29,16985
MP000458,CMP002,2025-04-03,31427,1377,229,73,6676
MP000459,CMP002,2025-04-04,42373,3148,671,159,23128
MP000460,CMP002,2025-04-05,23913,628,143,46,19757
MP000461,CMP002,2025-04-06,41035,1965,613,235,8893
MP000462,CMP002,2025-04-07,13432,367,105,33,16111
MP000463,CMP002,2025-04-08,41558,2328,735,109,11522
MP000464,CMP002,2025-04-09,44483,2974,857,341,6319
MP000465,CMP002,2025-04-10,7969,178,34,8,20523
MP000466,CMP002,2025-04-11,39034,2651,549,209,21892
MP000467,CMP002,2025-04-12,14160,618,211,61,10324
MP000468,CMP002,2025-04-13,30752,1877,434,129,21623
MP000469,CMP002,2025-04-14,38404,2948,943,247,20561
MP000470,CMP002,2025-04-15,6090,309,67,9,18649
